invID,resID
15106,541125
15106,540401
15149,538099
15149,539972
15149,538913
15149,560655
15149,544744
15149,556226
15149,544758
15149,548847
15149,539181
15149,539182
15149,539232
15149,538072
15149,539048
15149,539365
15149,544456
15149,540046
15149,538765
15149,546868
15149,544313
15149,544178
15160,542684
15168,560595
15168,539483
15168,539364
15168,538547
15168,540299
15168,538749
15183,560466
15183,539785
15183,542634
15183,560688
15183,553800
15183,539397
15183,538421
15183,538286
15183,538206
15183,544575
15183,540764
15183,538931
15183,542027
15183,542544
15183,543936
15183,542616
15183,543603
15183,543930
15183,540220
15183,543587
15183,544429
15183,541565
15183,543038
15183,543743
15183,540649
15183,543197
15183,539843
15183,544384
15183,540475
15183,540243
15183,539643
15183,541656
15183,543848
15183,542339
15183,541602
15183,542009
15183,541074
15183,541622
15183,544335
15183,540820
15183,544324
15183,544318
15183,541759
15183,540654
15183,541030
15183,541278
15186,539480
15186,539206
15186,539250
15186,543376
15186,542443
15186,539069
15186,540289
15186,543183
15186,541971
15194,539222
15194,539560
15194,538939
15194,539139
15194,538697
15194,538677
15194,538644
15194,542300
15194,538792
15194,540043
15206,539480
15206,542683
15206,542641
15213,554023
15213,556425
15213,537834
15213,545052
15213,538336
15213,542372
15213,541979
15213,539398
15213,540985
15213,538077
15213,538143
15213,539270
15213,542764
15213,541837
15213,537998
15213,544573
15213,542240
15213,544489
15213,544198
15213,543996
15213,542996
15213,543507
15213,540384
15213,543659
15213,543333
15213,541932
15213,544332
15213,540759
15213,539859
15213,542379
15213,538776
15213,541781
15213,538020
15213,540637
15213,546896
15213,539182
15213,544568
15213,539325
15213,542170
15213,538950
15213,544519
15213,543628
15213,538878
15213,538548
15213,541818
15213,538678
15213,543923
15217,539593
15217,547253
15217,548833
15217,539437
15217,538936
15217,540087
15217,538585
15217,538866
15217,538685
15217,541730
15217,539128
15217,538850
15225,554537
15225,557914
15225,538840
15225,541872
15225,539193
15225,539479
15225,539218
15225,546882
15225,539415
15225,539846
15225,538595
15225,543288
15225,539085
15225,543756
15233,556167
15233,539436
15233,543917
15233,541650
15233,541957
15233,538716
15233,544379
15233,542105
15233,540142
15233,542365
15233,539601
15233,539180
15233,539279
15233,539044
15233,539367
15233,538700
15233,538820
15233,539138
15233,542199
15233,540074
15233,540792
15233,542107
15233,541936
15233,543535
15233,543922
15233,541538
15233,538672
15233,540108
15233,543538
15233,541418
15233,541133
15233,538786
15233,541464
15233,541958
15233,541371
15236,554533
15236,539396
15236,539987
15236,538917
15236,538846
15236,538809
15238,555800
15238,559422
15238,555194
15238,555241
15238,554898
15238,552173
15238,560580
15238,554531
15238,537551
15238,549239
15238,560243
15238,547077
15238,543692
15238,554416
15238,557924
15238,547332
15238,538174
15238,544653
15238,538229
15238,538368
15238,538339
15238,543614
15238,542143
15238,538247
15238,538221
15238,538045
15238,537990
15238,539262
15238,541604
15238,541769
15238,540653
15238,541445
15238,544008
15238,541050
15238,541590
15238,539135
15238,541531
15238,542500
15238,542704
15238,538534
15238,544108
15238,540458
15238,541093
15238,540109
15238,541364
15238,541150
15238,543549
15238,543188
15238,542093
15238,538704
15238,542115
15238,542915
15238,541394
15238,539861
15238,538833
15238,540575
15238,542847
15238,542198
15238,538793
15238,543808
15238,540428
15238,541686
15238,541863
15238,556127
15238,560638
15238,544613
15238,540266
15238,539406
15238,539386
15238,544654
15238,538333
15238,539756
15238,539630
15238,543220
15238,543021
15238,541431
15238,539101
15238,540439
15238,541362
15238,542927
15238,540775
15238,543947
15238,541499
15238,542161
15238,541885
15238,541251
15262,539594
15262,539246
15262,539423
15262,539026
15262,538543
15262,543924
15284,538528
15284,559987
15284,555563
15284,555338
15284,540857
15284,543769
15284,543871
15284,538981
15284,541113
15284,538618
15284,542781
15284,542394
15284,541444
15284,542148
15284,539921
15284,538853
15284,542578
15290,546885
15290,541322
15290,544059
15290,537905
15290,541118
15290,546554
15290,541877
15290,550006
15290,544746
15290,539453
15290,538157
15290,546555
15290,538121
15290,538024
15290,546879
15290,538037
15290,538016
15290,537926
15290,543733
15290,541922
15290,543829
15290,546552
15290,540136
15290,546569
15290,546568
15290,546566
15290,546563
15290,546551
15290,543443
15290,542803
15291,547470
15291,558474
15291,560148
15291,552356
15291,557354
15291,539477
15291,545049
15291,538435
15291,538323
15291,544672
15291,543064
15291,538254
15291,538255
15291,539288
15291,538171
15291,540300
15291,541586
15291,544526
15291,540100
15291,542427
15291,542955
15291,538640
15291,544392
15291,542334
15291,539983
15291,542562
15291,540825
15291,543142
15291,537627
15291,560738
15291,556527
15291,548835
15291,550203
15291,548952
15291,546901
15291,539457
15291,538962
15291,538928
15291,541964
15292,554854
15292,556130
15292,539502
15292,541454
15292,537979
15292,540761
15292,538983
15292,543485
15292,543385
15292,544185
15292,544460
15292,538581
15292,543925
15292,542990
15292,540400
15292,541993
15292,544708
15292,544706
15292,552192
15292,546889
15292,548381
15292,544589
15292,544622
15292,539336
15292,542946
15292,543950
15292,540706
15292,541342
15292,544058
15292,543418
15292,541248
15292,541436
15292,544023
15292,540627
15292,538910
15292,544390
15292,540430
15292,543617
15292,538683
15292,543471
15292,540264
15292,543491
15292,541297
15292,543295
15292,539791
15292,541298
15292,542625
15292,538832
15292,538721
15292,542003
15292,541208
15292,543791
15292,543977
15317,539282
15317,538860
15317,560689
15317,539572
15317,539164
15317,559740
15317,548955
15317,539228
15317,544612
15317,539052
15317,538947
15317,539065
15317,541076
15317,544369
15317,543124
15317,539124
15317,543044
15317,538791
15317,542225
15317,543265
15319,558999
15319,546249
15319,539515
15319,553515
15319,538015
15319,542495
15319,544563
15319,543955
15319,540894
15319,544514
15319,544199
