invID,resID
14995,482721
14995,474952
14995,454134
14995,453309
14995,446311
14995,445541
14995,444406
14995,442759
14995,426254
14995,422370
14995,391066
14995,415103
14995,415110
14995,347134
14995,347055
14995,347123
14995,415102
14995,415112
14995,415111
14999,560393
14999,560390
14999,560394
14999,560400
14999,560401
14999,560395
14999,556494
14999,558129
14999,555012
14999,554824
14999,548301
14999,548299
14999,547556
14999,548300
14999,547599
14999,547312
14999,537276
14999,560403
14999,530823
14999,560402
14999,531581
14999,526357
14999,526375
14999,524624
14999,521099
14999,526376
14999,499024
14999,492720
14999,490364
14999,484771
14999,488697
14999,488487
14999,477825
14999,479822
14999,479761
14999,479958
14999,460087
14999,446334
14999,455152
14999,446309
14999,463960
14999,443453
14999,443293
14999,446201
14999,441324
14999,441083
14999,440190
14999,441115
14999,440196
14999,438143
14999,423556
14999,421700
14999,420630
14999,418555
14999,420096
14999,417906
14999,416548
14999,383006
14999,374601
14999,373566
14999,354186
14999,373376
14999,371314
14999,352751
14999,352717
14999,352753
14999,383574
14999,357608
14999,345055
14999,343286
14999,343949
14999,352701
14999,352708
14999,343971
14999,319519
14999,319685
14999,319380
14999,319478
14999,554212
14999,554215
14999,554210
14999,554214
14999,535045
14999,535044
14999,534101
14999,534097
14999,458921
14999,459149
14999,458932
14999,459287
14999,459143
14999,459150
14999,458938
14999,459162
14999,459381
14999,459154
14999,458844
14999,458736
14999,458833
14999,458927
14999,458924
14999,458830
14999,458925
14999,458821
14999,458928
14999,458734
14999,458920
14999,427797
14999,427798
14999,427793
14999,427795
14999,427853
14999,427800
14999,427796
14999,427799
14999,427791
14999,427792
14999,427801
14999,427802
14999,423834
14999,423798
14999,423817
14999,423832
14999,423812
14999,423833
14999,423806
14999,423809
14999,423814
14999,399647
14999,399626
14999,399534
14999,399559
14999,399541
14999,399662
14999,418978
14999,323191
14999,324078
14999,323192
14999,324077
14999,324074
14999,324073
14999,322873
15001,529247
15001,527131
15001,518663
15001,496432
15001,489971
15001,482505
15001,480204
15001,453675
15001,457704
15001,419262
15001,405661
15001,374280
15001,347773
15001,371247
15001,347766
15001,344572
15001,324232
15001,324327
15001,558979
15001,537322
15001,493710
15001,493709
15001,458601
15001,459084
15001,493711
15001,459083
15001,440319
15001,416026
15001,392494
15001,325009
15001,324994
15001,324725
15013,535129
15013,530573
15013,534041
15013,530332
15013,531509
15013,532503
15013,549677
15013,529180
15013,549674
15013,549672
15013,524151
15013,492554
15013,488770
15013,489342
15013,482262
15013,474201
15013,459223
15013,445651
15013,446285
15013,455007
15013,445535
15013,428583
15013,424238
15013,422451
15013,417859
15013,418134
15013,415549
15013,391858
15013,386200
15013,385631
15013,372138
15013,371579
15013,371395
15013,371183
15013,363773
