invID,resID
15681,389711
15681,348152
15681,348151
15681,322486
15720,421181
15720,519661
15720,482714
15720,445230
15720,386510
15755,489955
15755,489951
15755,489950
15755,489949
15755,489948
15755,559527
15755,455580
15770,456724
15770,324011
15783,345504
15783,319268
15831,432585
15831,458937
15831,477550
15831,428975
15831,458934
15831,444152
15831,428974
15831,479633
15831,559404
15831,424260
15871,559500
15871,552901
15871,445224
15871,345445
15872,495501
15872,495502
15872,495500
15872,491103
15872,456041
15872,456040
15872,456043
15872,456038
15872,456039
15872,456036
15872,421582
15872,421581
15872,388492
15872,388496
15875,380961
15875,348835
15875,380960
15875,348838
15875,348837
15875,348836
15875,552559
15875,455779
15875,455631
15875,444158
15875,426363
15875,426736
15875,380903
15875,374421
15875,345453
15875,345494
15877,457588
15877,457586
15877,443680
15877,443681
15877,443679
15877,534536
15877,482347
15877,426606
15877,418262
15877,386512
15877,374517
15877,374582
15877,374445
15877,345444
15877,339957
15878,390573
15878,390577
15878,390605
15878,390568
15878,390621
15878,390603
15878,390582
15878,559484
15878,534567
15878,519636
15878,482718
15878,426451
15878,426746
15878,374425
15878,345446
15904,388472
15904,455639
15904,444401
15904,386557
15904,346925
15905,534533
15905,445299
15905,389890
15905,386624
15905,386527
15959,496659
15959,421717
15959,389262
15959,418295
15966,523733
15966,457091
15966,428083
15966,421334
15966,421335
15966,421336
15966,388223
15966,487675
15989,389028
15989,495451
15989,477336
15989,458940
15989,445112
15989,552893
15989,550996
15989,534456
15989,519794
15989,482618
15989,445178
15989,456159
15989,444182
15989,440641
15989,426733
15989,386669
15989,345422
15989,319224
16012,559486
16012,445332
16012,444346
16012,346906
16019,559396
16019,559405
16019,559395
16019,559397
16019,552917
16019,534607
16019,534437
16019,534483
16019,482376
16019,445249
16019,444177
16019,444162
16019,426480
16019,339901
16044,506651
16044,389329
16044,322628
16044,552890
16044,553286
16044,534425
16044,519827
16044,487709
16044,482091
16044,445296
16044,444399
16044,426355
16044,386658
16044,374469
16044,339955
16053,426834
16053,421223
16053,421218
16053,421234
16053,388333
16053,388557
16053,388554
16053,388555
16053,534634
16053,534461
16053,534447
16053,519537
16053,495645
16053,443512
16053,426375
16053,426461
16053,386544
16053,380792
